Id,feature1,feature2,feature3,feature4,feature5,feature6,labels
1,91,44,18,18,23,2.0,2
2,83,40,29,25,38,0.5,2
3,78,69,24,18,31,0.5,1
4,86,44,24,15,18,2.0,1
5,92,82,27,24,37,6.0,2
6,89,90,15,17,25,4.0,2
7,91,80,37,23,27,4.0,1
8,89,35,27,29,17,4.0,1
9,87,59,37,27,34,2.0,2
10,91,105,40,26,56,0.5,1
11,92,65,25,20,31,0.5,2
12,88,47,35,26,33,3.0,2
13,91,86,52,47,52,4.0,2
14,99,75,26,24,41,12.0,1
15,90,70,25,23,112,5.0,2
16,93,70,46,30,33,8.0,1
17,87,90,43,28,156,2.0,2
18,91,55,9,25,16,2.0,2
19,92,79,22,20,11,3.0,1
20,79,101,17,27,23,4.0,2
